taxon	clade
Kretzoiarctos_beatrix	Indarctos_arctoides
Kretzoiarctos_beatrix	Indarctos_vireti
Ursus_abstrusus	Ursus_arctos
Ursus_abstrusus	Ursus_spelaeus
Ursus_abstrusus	Ursus_americanus
